song_name,song_position,artist_name,playlist_year,danceability,valence,speechiness
All In My Head (Flex) (feat. Fetty Wap),1,Fifth Harmony,Top Songs 2016,0.689,0.755,0.053
I Lied,2,Fifth Harmony,Top Songs 2016,0.674,0.492,0.179
Boom!,3,Simple Plan,Top Songs 2016,0.457,0.3,0.1
History,4,One Direction,Top Songs 2016,0.655,0.802,0.0493
Work from Home (feat. Ty Dolla $ign),5,Fifth Harmony,Top Songs 2016,0.803,0.593,0.0432
Break a Sweat,6,Becky G,Top Songs 2016,0.786,0.65,0.059
Shoot to Thrill,7,AC/DC,Top Songs 2016,0.457,0.48,0.0747
Write On Me,8,Fifth Harmony,Top Songs 2016,0.441,0.475,0.128
You,9,Galantis,Top Songs 2016,0.184,0.21,0.0661
I Don't Wanna Go to Bed (feat. Nelly),10,Simple Plan,Top Songs 2016,0.722,0.842,0.0452
Bacon,11,Nick Jonas,Top Songs 2016,0.709,0.755,0.0799
I Know What You Did Last Summer,12,Shawn Mendes,Top Songs 2016,0.685,0.722,0.0974
The Only Exception,13,Paramore,Top Songs 2016,0.452,0.209,0.0272
Pride,14,American Authors,Top Songs 2016,0.619,0.65,0.0432
Look At Me Now,15,Chris Brown,Top Songs 2016,0.764,0.581,0.189
Sledgehammer,16,Fifth Harmony,Top Songs 2016,0.671,0.289,0.046
Born To Be Wild,17,Krokus,Top Songs 2016,0.576,0.609,0.0425
Fanática Sensual,18,Plan B,Top Songs 2016,0.791,0.902,0.0492
Call If You Need Me,19,Galantis,Top Songs 2016,0.385,0.484,0.0359
Happy Birthday (feat. John Legend),20,Kygo,Top Songs 2016,0.596,0.159,0.103
Photograph,21,Ed Sheeran,Top Songs 2016,0.614,0.201,0.0476
Half a Heart,22,One Direction,Top Songs 2016,0.515,0.495,0.0348
Like A Champion,23,Selena Gomez,Top Songs 2016,0.705,0.935,0.118
BO$$,24,Fifth Harmony,Top Songs 2016,0.813,0.736,0.107
"Bad Man (feat. Robin Thicke, Joe Perry & Travis Barker)",25,Pitbull,Top Songs 2016,0.636,0.53,0.0639
7 Years,26,Lukas Graham,Top Songs 2016,0.765,0.34,0.0514
Adiemus - 1999 New Version,27,Karl Jenkins,Top Songs 2016,0.282,0.186,0.0454
A Thousand Years,28,Christina Perri,Top Songs 2016,0.421,0.161,0.0267
Never Enough,29,One Direction,Top Songs 2016,0.579,0.587,0.0512
Desire - Gryffin Remix,30,Years & Years,Top Songs 2016,0.543,0.415,0.0512
I Found A Girl,31,The Vamps,Top Songs 2016,0.717,0.645,0.0565
Peanut Butter Jelly,32,Galantis,Top Songs 2016,0.708,0.545,0.234
The Feeling,33,Justin Bieber,Top Songs 2016,0.525,0.21,0.0619
Top Down,34,Fifth Harmony,Top Songs 2016,0.831,0.759,0.0429
Sweet Child O' Mine,35,Guns N' Roses,Top Songs 2016,0.45,0.662,0.0489
Entre Tus Alas,36,Camila,Top Songs 2016,0.206,0.0953,0.0345
I Can Be Somebody (feat. Erin McCarley),37,Deorro,Top Songs 2016,0.634,0.238,0.0331
Sin Contrato (feat. Fifth Harmony),38,Maluma,Top Songs 2016,0.782,0.896,0.102
Stars,39,Demi Lovato,Top Songs 2016,0.596,0.805,0.101
"Gone, Gone, Gone",40,Phillip Phillips,Top Songs 2016,0.664,0.501,0.038
Halo,41,Beyoncé,Top Songs 2016,0.508,0.472,0.0628
Let Me Go,42,Avril Lavigne,Top Songs 2016,0.389,0.118,0.037
Love Myself,43,Hailee Steinfeld,Top Songs 2016,0.617,0.324,0.0678
X Gon' Give It To Ya,44,DMX,Top Songs 2016,0.501,0.627,0.292
The Hills,45,The Weeknd,Top Songs 2016,0.356,0.109,0.0798
Heartbeat,46,Beckah Shae,Top Songs 2016,0.713,0.644,0.0858
Happily,47,One Direction,Top Songs 2016,0.623,0.824,0.0394
YOUTH,48,Troye Sivan,Top Songs 2016,0.628,0.592,0.041
Lay You Down Easy (feat. Sean Paul),49,MAGIC!,Top Songs 2016,0.644,0.947,0.0738
Second Chances,50,Imagine Dragons,Top Songs 2016,0.401,0.362,0.0355
Vapor,51,5 Seconds of Summer,Top Songs 2016,0.507,0.531,0.0434
Things I'll Never Say,52,Avril Lavigne,Top Songs 2016,0.576,0.578,0.0326
I Lived,53,OneRepublic,Top Songs 2016,0.599,0.311,0.0436
Candy,54,Plan B,Top Songs 2016,0.9,0.592,0.112
Gone (feat. Ty Dolla $ign),55,Afrojack,Top Songs 2016,0.687,0.763,0.0448
Home,56,Phillip Phillips,Top Songs 2016,0.606,0.322,0.0307
Find You,57,Zedd,Top Songs 2016,0.532,0.38,0.0394
You & Me (feat. W. Darling),58,Bassnectar,Top Songs 2016,0.495,0.151,0.0341
Cuando Nos Volvamos a Encontrar (feat. Marc Anthony),59,Carlos Vives,Top Songs 2016,0.607,0.598,0.041
Yellow,60,Coldplay,Top Songs 2016,0.429,0.285,0.0281
Sígueme Y Te Sigo,61,Daddy Yankee,Top Songs 2016,0.736,0.663,0.0428
I'm with You,62,Avril Lavigne,Top Songs 2016,0.451,0.226,0.0293
Drag Me Down,63,One Direction,Top Songs 2016,0.73,0.595,0.0369
Hey Everybody!,64,5 Seconds of Summer,Top Songs 2016,0.753,0.853,0.0316
Make You Feel My Love,65,Adele,Top Songs 2016,0.325,0.0997,0.0311
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),66,AC/DC,Top Songs 2016,0.456,0.532,0.0894
Summer,67,Calvin Harris,Top Songs 2016,0.596,0.743,0.0346
